City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
612,Katunino,RU,17.6,clear sky,64.3862,40.6298,Klovoye Mesto.reka Iles
614,Torbat-E Jam,IR,54.95,overcast clouds,35.244,60.6225,White building
619,Zheleznodorozhnyy,RU,21.2,light snow,55.7503,38.0042,Hotel Dali
621,Imeni Poliny Osipenko,RU,19.58,broken clouds,52.4201,136.4853,Yubileynaya
623,Goderich,CA,32.0,scattered clouds,43.7501,-81.7165,Harmony Inn
624,Hella,NO,34.0,clear sky,67.2,14.4333,Kobbosen
628,Tarbagatay,RU,12.2,few clouds,51.4803,107.3602,"Meditativnyy Tsentr ""Sansara"""
633,Bonavista,CA,41.0,overcast clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
642,Liuhe,CN,39.78,moderate rain,42.2401,125.7172,Grain Hostel
644,Bourges,FR,46.4,overcast clouds,47.25,2.4167,Thomas
653,Cervo,ES,51.01,broken clouds,43.6702,-7.4101,Hotel Spa Galatea
655,Tottori,JP,50.0,mist,35.5,134.2333,Hotel Monarque Tottori
656,Wucheng,CN,52.0,overcast clouds,29.6008,118.175,Xiuwu Restaurant
658,Narimanov,RU,14.0,clear sky,46.6927,47.8498,Solnechnyi
662,Shelburne,CA,32.0,scattered clouds,44.0787,-80.2041,The Retreat at the Farm
663,Golpayegan,IR,37.26,overcast clouds,33.4537,50.2884,Golpayegan Tourist Hotel
664,Lingyuan,CN,36.75,broken clouds,41.24,119.4011,Guomao Hotel
667,Jumla,NP,43.97,overcast clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
669,Olsztyn,PL,33.8,clear sky,53.7799,20.4942,Hostel Wysoka Brama Noclegi Pokoje Najlepszy Hostel Apartamenty Komfortowy Hostel Hotel
671,Bahar,IR,31.75,snow,34.9072,48.4414,نمایندگی سایپا اسدی 20406
676,Fuyu,CN,31.62,scattered clouds,45.1833,124.8167,Education Hostel
680,Sooke,CA,51.01,scattered clouds,48.3746,-123.7276,Sooke Harbour House Hotel & Resort
682,Olden,NO,37.4,broken clouds,61.8364,6.8064,Nesset Fjordcamping Olden
685,Perpignan,FR,51.01,scattered clouds,42.75,2.75,Le moulin a huile de l'agly
687,Margate,GB,46.0,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
690,Chapais,CA,17.6,light snow,49.7834,-74.8492,Hôtel Opémiska
691,Nexo,DK,41.0,overcast clouds,55.0607,15.1306,Strandhotel Balka Søbad
693,Golden,US,44.01,overcast clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
699,Milkovo,RU,14.16,overcast clouds,54.7167,158.6167,"Hotel ""Geologist"""
701,Ushtobe,KZ,43.18,overcast clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
702,Asau,RO,37.0,broken clouds,46.4333,26.4,Casa Mika Ciobanus
704,Wlodawa,PL,33.01,broken clouds,51.55,23.55,Ośrodek Wypoczynkowy Ranczo
708,Beyneu,KZ,19.81,overcast clouds,45.3167,55.2,NUR
711,Baruun-Urt,MN,28.65,overcast clouds,46.6806,113.2792,Ахмадын амралт сувилал
