City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Kremze,CZ,48.905,14.3057,36.0,74,48,10.45,scattered clouds
144,Broome,US,42.2506,-75.833,51.8,24,1,12.66,clear sky
145,Ahuimanu,US,21.4447,-157.8378,80.6,65,75,13.8,broken clouds
146,Ostrovnoy,RU,68.0531,39.5131,12.83,90,96,16.6,overcast clouds
147,Kahului,US,20.8947,-156.47,78.01,78,40,23.02,light rain
148,Longyearbyen,SJ,78.2186,15.6401,-0.83,87,40,1.88,scattered clouds
149,Lima,PE,-12.0432,-77.0282,79.0,69,0,17.27,clear sky
150,Kavieng,PG,-2.5744,150.7967,83.91,60,78,4.74,broken clouds
151,Bacungan,PH,9.9106,118.7022,77.0,88,90,4.61,very heavy rain
152,Komsomolskiy,UZ,40.4272,71.7189,50.0,66,40,11.5,scattered clouds
153,Cayenne,GF,4.9333,-52.3333,73.4,94,0,2.3,light rain
154,Oudtshoorn,ZA,-33.5907,22.2014,62.6,88,0,3.44,clear sky
155,Houma,US,29.5958,-90.7195,78.01,73,40,13.8,scattered clouds
156,Omboue,GA,-1.5746,9.2618,77.23,88,100,3.62,overcast clouds
157,Ambunti,PG,-4.2365,142.8448,80.2,84,87,0.92,overcast clouds
158,Souillac,MU,-20.5167,57.5167,78.8,73,40,6.91,scattered clouds
159,Griffith,US,41.5284,-87.4237,46.99,49,1,3.44,clear sky
160,Hasaki,JP,35.7333,140.8333,55.4,94,75,9.22,heavy intensity rain
161,Katsuura,JP,35.1333,140.3,53.01,93,100,4.0,moderate rain
162,Beidao,CN,34.5686,105.8933,45.59,85,0,3.31,clear sky
163,Constitucion,CL,-35.3333,-72.4167,61.23,70,3,7.43,clear sky
164,Kirakira,SB,-10.4544,161.9205,84.47,68,14,4.12,few clouds
165,Tilichiki,RU,60.4667,166.1,14.61,92,100,11.1,light snow
166,Wilson,US,36.1501,-86.2833,62.01,94,90,4.45,overcast clouds
167,Rio Gallegos,AR,-51.6226,-69.2181,69.8,24,0,31.07,clear sky
168,Luderitz,NA,-26.6481,15.1594,67.08,70,0,6.8,clear sky
169,Luanda,AO,-8.8368,13.2343,79.14,80,100,6.15,overcast clouds
170,Saint-Pierre,RE,-21.3393,55.4781,77.0,69,0,8.05,clear sky
171,Harnosand,SE,62.6323,17.9379,32.0,100,90,3.44,mist
172,Mizan Teferi,ET,6.9833,35.5833,68.86,55,63,2.95,broken clouds
173,Ataco,CO,3.5915,-75.3818,76.73,82,43,3.04,scattered clouds
174,Sao Filipe,CV,14.8961,-24.4956,70.48,77,3,7.63,clear sky
175,Georgetown,MY,5.4112,100.3354,77.0,94,20,3.44,few clouds
176,Shingu,JP,33.7333,135.9833,53.6,94,75,13.8,broken clouds
177,Zhezkazgan,KZ,47.8043,67.7144,-6.36,86,12,14.88,few clouds
178,Vestmanna,FO,62.1564,-7.1664,39.2,87,75,11.5,broken clouds
179,Vardo,NO,70.3705,31.1107,23.0,74,75,13.8,broken clouds
180,Guadalupe Y Calvo,MX,26.1,-106.9667,63.41,20,62,16.13,broken clouds
181,Kaitangata,NZ,-46.2817,169.8464,63.68,60,1,1.79,clear sky
182,Andros Town,BS,24.7,-77.7667,75.2,64,75,14.97,broken clouds
183,Buraydah,SA,26.326,43.975,62.6,45,0,18.41,dust
184,Nome,US,64.5011,-165.4064,0.0,71,90,19.57,haze
185,Gizo,SB,-8.103,156.8419,83.25,71,100,9.4,overcast clouds
186,Lebu,CL,-37.6167,-73.65,59.23,83,0,16.46,clear sky
187,Chuy,UY,-33.6971,-53.4616,68.32,92,17,10.18,few clouds
188,Atherton,GB,53.5237,-2.4935,44.01,85,100,4.0,overcast clouds
189,Swan River,CA,52.1058,-101.2676,35.6,64,100,14.97,overcast clouds
190,Goundam,ML,16.4145,-3.6708,68.38,21,0,9.28,clear sky
191,Lucea,JM,18.451,-78.1736,81.0,69,40,16.11,scattered clouds
192,Massakory,TD,12.996,15.7293,86.23,6,46,12.19,scattered clouds
193,Torbay,CA,47.6666,-52.7314,42.01,100,90,35.68,light rain
194,Atchison,US,39.563,-95.1216,45.0,89,100,17.09,overcast clouds
195,Qaqortoq,GL,60.7167,-46.0333,14.0,62,75,8.05,broken clouds
196,Ko Samui,TH,9.5357,99.9357,81.25,76,0,13.06,clear sky
197,Alekseyevka,RU,50.6309,38.6903,21.63,48,98,14.09,light snow
198,Jinxiang,CN,27.4327,120.6062,54.34,82,99,8.03,overcast clouds
199,Vila Franca Do Campo,PT,37.7167,-25.4333,57.2,94,75,6.91,broken clouds
200,Labuhan,ID,-6.8844,112.2051,77.23,84,99,5.28,overcast clouds
201,Venado,MX,22.9333,-101.0833,83.41,12,0,11.36,clear sky
202,Bambous Virieux,MU,-20.3428,57.7575,78.8,73,40,6.91,scattered clouds
203,Ilebo,CD,-4.3167,20.5833,74.05,93,88,2.84,light rain
204,Kovur,IN,14.4833,79.9833,68.76,80,2,5.3,clear sky
205,Aguimes,ES,27.9054,-15.4461,64.0,77,20,13.8,few clouds
206,Pimentel,PE,-6.8367,-79.9342,84.2,54,0,19.57,clear sky
207,Mount Gambier,AU,-37.8333,140.7667,59.0,94,75,13.8,light rain
208,Rongcheng,CN,30.634,117.8517,48.15,91,100,1.7,overcast clouds
209,Nantucket,US,41.2835,-70.0995,51.8,71,1,11.5,clear sky
